%leaf_name;label_transformation;transformation_expression;leaf_name_aos_indices;length_i;length_j
%;;;;set length to '[1]' for i or j so if no {i} or {j} in leaf_name_aos_indices do the whole just once;
bolometer.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);bolometer.grid.dim1;[1];[1]
bolometer.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);bolometer.grid.dim2;[1];[1]
core_instant_changes.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;core_instant_changes.vacuum_toroidal_field.b0;[1];[1]
core_instant_changes.change.profiles_1d.grid.psi;psi_like;.fact_psi;core_instant_changes.change{i}.profiles_1d{j}.grid.psi;core_instant_changes.change;core_instant_changes.change{i}.profiles_1d
core_instant_changes.change.profiles_1d.q;q_like;.fact_q;core_instant_changes.change{i}.profiles_1d{j}.q;core_instant_changes.change;core_instant_changes.change{i}.profiles_1d
core_profiles.profiles_1d.grid.psi;psi_like;.fact_psi;core_profiles.profiles_1d{i}.grid.psi;core_profiles.profiles_1d;[1]
core_profiles.profiles_1d.q;q_like;.fact_q;core_profiles.profiles_1d{i}.q;core_profiles.profiles_1d;[1]
core_profiles.profiles_2d.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);core_profiles.profiles_2d{i}.grid.dim1;core_profiles.profiles_2d;[1]
core_profiles.profiles_2d.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);core_profiles.profiles_2d{i}.grid.dim2;core_profiles.profiles_2d;[1]
core_profiles.global_quantities.ip;ip_like;.sigma_ip_eff;core_profiles.global_quantities.ip;[1];[1]
core_profiles.global_quantities.current_non_inductive;ip_like;.sigma_ip_eff;core_profiles.global_quantities.current_non_inductive;[1];[1]
core_profiles.global_quantities.current_bootstrap;ip_like;.sigma_ip_eff;core_profiles.global_quantities.current_bootstrap;[1];[1]
core_profiles.global_quantities.v_loop;ip_like;.sigma_ip_eff;core_profiles.global_quantities.v_loop;[1];[1]
core_profiles.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;core_profiles.vacuum_toroidal_field.b0;[1];[1]
core_sources.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;core_sources.vacuum_toroidal_field.b0;[1];[1]
core_sources.source.profiles_1d.grid.psi;psi_like;.fact_psi;core_sources.source{i}.profiles_1d{j}.grid.psi;core_sources.source;core_sources.source{i}.profiles_1d
core_transport.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;core_transport.vacuum_toroidal_field.b0;[1];[1]
core_transport.model.profiles_1d.grid.psi;psi_like;.fact_psi;core_transport.model{i}.profiles_1d{j}.grid.psi;core_transport.model;core_transport.model{i}.profiles_1d
core_transport.model.profiles_1d.grid.psi;psi_like;.fact_psi;core_transport.model{i}.profiles_1d{j}.grid.psi;core_transport.model;core_transport.model{i}.profiles_1d
core_transport.model.profiles_1d.grid.psi;psi_like;.fact_psi;core_transport.model{i}.profiles_1d{j}.grid.psi;core_transport.model;core_transport.model{i}.profiles_1d
